inventoryId,source,tag,label,command,tooltip,initialWebStatus,hostApiNeeded,webTarget,notes
"xaml:MainWindow.xaml:2157:616","MainWindow.xaml:2157","Button","Save","{Binding DataContext.SaveAttachmentCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2256:634","MainWindow.xaml:2256","Button","&#xF08A;","","Copy","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2260:635","MainWindow.xaml:2260","Button","&#xE154;","","Forward","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2264:636","MainWindow.xaml:2264","Button","&#xE0B0;","","Call","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2268:637","MainWindow.xaml:2268","Button","&#xE872;","","Delete","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2272:638","MainWindow.xaml:2272","Button","&#xF10D;","","{Binding PinActionLabel}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2293:641","MainWindow.xaml:2293","Button","&#xE313;","","Scroll to latest","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2340:650","MainWindow.xaml:2340","Button","Undo","{Binding UndoLastDeletedMessageCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2362:653","MainWindow.xaml:2362","Button","&#xE226;","{Binding AddComposeAttachmentCommand}","Attach pictures, files, or contact cards. DeskPhone will send them as MMS when the phone accepts Bluetooth MAP media sending.","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2399:664","MainWindow.xaml:2399","Button","&#xE5CD;","{Binding DataContext.RemoveComposeAttachmentCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2410:666","MainWindow.xaml:2410","Button","&#xE163;","{Binding SendMessageCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2483:680","MainWindow.xaml:2483","Button","All","{Binding SetCallHistoryFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2499:688","MainWindow.xaml:2499","Button","Missed","{Binding SetCallHistoryFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2537:702","MainWindow.xaml:2537","Button","In","{Binding SetCallHistoryFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2553:710","MainWindow.xaml:2553","Button","Out","{Binding SetCallHistoryFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2573:719","MainWindow.xaml:2573","Button","&#xE0BC; | Keypad","{Binding ToggleConversationDialerPaneCommand}","Show keypad","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2592:723","MainWindow.xaml:2592","Button","&#xE872;","{Binding DeleteAllCallHistoryCommand}","Delete all call history","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2627:730","MainWindow.xaml:2627","Button","Undo","{Binding UndoCallHistoryDeleteCommand}","","not-yet-reviewed","","",""
